year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
2018,826,SK,coarse,-0.034760548
2019,826,SK,coarse,0.065762619
2020,826,SK,coarse,0.146705172
2021,826,SK,coarse,0.111442882
2022,826,SK,coarse,-0.132483248
1990,826,SK,fine,0.178874414
1991,826,SK,fine,0.171456314
1992,826,SK,fine,0.168449214
1993,826,SK,fine,0.033410314
1994,826,SK,fine,0.044864808
1995,826,SK,fine,-0.008160006
1996,826,SK,fine,0.043631678
1997,826,SK,fine,0.086166094
1998,826,SK,fine,0.024654274
1999,826,SK,fine,0.090402334
2000,826,SK,fine,0.079963174
2001,826,SK,fine,0.191784914
2002,826,SK,fine,-0.087088386
2003,826,SK,fine,0.023558634
2004,826,SK,fine,-0.024686516
2005,826,SK,fine,0.288219914
2006,826,SK,fine,0.161034614
2007,826,SK,fine,-0.089221186
2008,826,SK,fine,0.05654284
2009,826,SK,fine,0.236371314
2010,826,SK,fine,0.282208214
2011,826,SK,fine,0.107584674
2012,826,SK,fine,0.101336234
2013,826,SK,fine,0.200903514
2014,826,SK,fine,0.352591814
2015,826,SK,fine,0.109468134
2016,826,SK,fine,0.084442344
2017,826,SK,fine,0.304351714
2018,826,SK,fine,-0.212170186
2019,826,SK,fine,0.036162854
2020,826,SK,fine,0.230137914
2021,826,SK,fine,0.142042044
2022,826,SK,fine,-0.443457786
1990,826,SK,medium,0.157105058
1991,826,SK,medium,0.158682298
1992,826,SK,medium,0.159150588
1993,826,SK,medium,0.059340858
1994,826,SK,medium,0.066657688
1995,826,SK,medium,0.027081848
1996,826,SK,medium,0.065354348
1997,826,SK,medium,0.098186499
1998,826,SK,medium,0.053396388
1999,826,SK,medium,0.102377958
2000,826,SK,medium,0.095806953
2001,826,SK,medium,0.180239158
2002,826,SK,medium,-0.026866792
2003,826,SK,medium,0.052236008
2004,826,SK,medium,0.016665638
2005,826,SK,medium,0.251079108
2006,826,SK,medium,0.160855448
2007,826,SK,medium,-0.027402292
2008,826,SK,medium,0.077936718
2009,826,SK,medium,0.214347108
2010,826,SK,medium,0.252487708
2011,826,SK,medium,0.123529238
2012,826,SK,medium,0.116885028
2013,826,SK,medium,0.191278958
2014,826,SK,medium,0.307193208
2015,826,SK,medium,0.127933338
2016,826,SK,medium,0.106367158
2017,826,SK,medium,0.270731108
2018,826,SK,medium,-0.114188192
2019,826,SK,medium,0.064746698
2020,826,SK,medium,0.212414108
2021,826,SK,medium,0.150044118
2022,826,SK,medium,-0.290461292
1990,827,SK,coarse,0.090152725
1991,827,SK,coarse,0.031417635
1992,827,SK,coarse,0.101219245
1993,827,SK,coarse,0.044774925
1994,827,SK,coarse,0.067599031
1995,827,SK,coarse,0.029016965
1996,827,SK,coarse,0.095906395
1997,827,SK,coarse,0.066189678
1998,827,SK,coarse,0.055535205
1999,827,SK,coarse,0.106680785
2000,827,SK,coarse,0.047058245
2001,827,SK,coarse,0.076213865
2002,827,SK,coarse,-0.053247545
2003,827,SK,coarse,0.053997875
2004,827,SK,coarse,0.062647835
2005,827,SK,coarse,0.138000545
2006,827,SK,coarse,0.116397875
2007,827,SK,coarse,-0.011343565
2008,827,SK,coarse,0.07608069
2009,827,SK,coarse,0.150807355
2010,827,SK,coarse,0.121672145
2011,827,SK,coarse,0.037255025
2012,827,SK,coarse,0.108082975
2013,827,SK,coarse,0.142680375
2014,827,SK,coarse,0.161980595
2015,827,SK,coarse,0.117169455
2016,827,SK,coarse,0.061073605
2017,827,SK,coarse,0.171861985
2018,827,SK,coarse,-0.019003745
2019,827,SK,coarse,0.040815655
2020,827,SK,coarse,0.083552145
2021,827,SK,coarse,0.087187935
2022,827,SK,coarse,-0.120262045
1990,827,SK,fine,0.184105016
1991,827,SK,fine,-0.024628484
1992,827,SK,fine,0.196410016
1993,827,SK,fine,0.003579376
1994,827,SK,fine,0.078320756
1995,827,SK,fine,-0.048520124
1996,827,SK,fine,0.166836316
1997,827,SK,fine,0.061171686
1998,827,SK,fine,0.026735106
1999,827,SK,fine,0.188389316
2000,827,SK,fine,-0.010441204
2001,827,SK,fine,0.086992136
2002,827,SK,fine,-0.325244184
2003,827,SK,fine,0.035127958
2004,827,SK,fine,0.052305446
2005,827,SK,fine,0.285193816
2006,827,SK,fine,0.200875216
2007,827,SK,fine,-0.205656284
2008,827,SK,fine,0.089458726
2009,827,SK,fine,0.315709916
2010,827,SK,fine,0.205983516
2011,827,SK,fine,-0.063143384
2012,827,SK,fine,0.171689816
2013,827,SK,fine,0.269842316
2014,827,SK,fine,0.318286716
2015,827,SK,fine,0.167177316
2016,827,SK,fine,-0.006559794
2017,827,SK,fine,0.348787316
2018,827,SK,fine,-0.264240384
2019,827,SK,fine,-0.048150334
2020,827,SK,fine,0.086094836
2021,827,SK,fine,0.091399226
2022,827,SK,fine,-0.560753984
1990,827,SK,medium,0.120183518
